    31/50000: episode: 1, duration: 1.430s, episode steps: 31, steps per second: 22, episode reward: 31.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.419 [0.000, 1.000], mean observation: 0.013 [-1.185, 1.776], loss: 0.462173, mean_absolute_error: 0.520752, mean_q: 0.096439
   511/50000: episode: 22, duration: 0.130s, episode steps: 22, steps per second: 169, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.455 [0.000, 1.000], mean observation: 0.087 [-0.806, 1.504], loss: 0.133530, mean_absolute_error: 2.313178, mean_q: 4.535358
   521/50000: episode: 23, duration: 0.060s, episode steps: 10, steps per second: 167, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.400 [0.000, 1.000], mean observation: 0.132 [-0.942, 1.556], loss: 0.192256, mean_absolute_error: 2.424197, mean_q: 4.714869
   559/50000: episode: 24, duration: 0.229s, episode steps: 38, steps per second: 166, episode reward: 38.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.368 [0.000, 1.000], mean observation: 0.003 [-2.112, 2.831], loss: 0.221496, mean_absolute_error: 2.502866, mean_q: 4.851118
   572/50000: episode: 25, duration: 0.081s, episode steps: 13, steps per second: 161, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.308 [0.000, 1.000], mean observation: 0.085 [-1.000, 1.699], loss: 0.183715, mean_absolute_error: 2.625215, mean_q: 5.129649
   598/50000: episode: 26, duration: 0.150s, episode steps: 26, steps per second: 174, episode reward: 26.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.577 [0.000, 1.000], mean observation: -0.048 [-1.697, 1.002], loss: 0.233408, mean_absolute_error: 2.712213, mean_q: 5.216707
   610/50000: episode: 27, duration: 0.072s, episode steps: 12, steps per second: 167, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.750 [0.000, 1.000], mean observation: -0.140 [-2.139, 1.174], loss: 0.325784, mean_absolute_error: 2.766895, mean_q: 5.250640
   628/50000: episode: 28, duration: 0.103s, episode steps: 18, steps per second: 174, episode reward: 18.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.333 [0.000, 1.000], mean observation: 0.083 [-1.236, 2.232], loss: 0.282634, mean_absolute_error: 2.831615, mean_q: 5.463905
   656/50000: episode: 29, duration: 0.167s, episode steps: 28, steps per second: 168, episode reward: 28.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.429 [0.000, 1.000], mean observation: 0.089 [-0.946, 1.858], loss: 0.340393, mean_absolute_error: 2.928390, mean_q: 5.530630
   670/50000: episode: 30, duration: 0.084s, episode steps: 14, steps per second: 166, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.214 [0.000, 1.000], mean observation: 0.091 [-1.521, 2.477], loss: 0.309740, mean_absolute_error: 3.011515, mean_q: 5.770519
   693/50000: episode: 31, duration: 0.135s, episode steps: 23, steps per second: 170, episode reward: 23.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.391 [0.000, 1.000], mean observation: 0.030 [-1.205, 1.840], loss: 0.285380, mean_absolute_error: 3.064477, mean_q: 5.888163
   714/50000: episode: 32, duration: 0.130s, episode steps: 21, steps per second: 162, episode reward: 21.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.476 [0.000, 1.000], mean observation: 0.052 [-0.828, 1.261], loss: 0.208964, mean_absolute_error: 3.175031, mean_q: 6.149430
   740/50000: episode: 33, duration: 0.153s, episode steps: 26, steps per second: 169, episode reward: 26.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: -0.073 [-1.025, 0.432], loss: 0.297080, mean_absolute_error: 3.252467, mean_q: 6.213748
   755/50000: episode: 34, duration: 0.090s, episode steps: 15, steps per second: 166, episode reward: 15.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.267 [0.000, 1.000], mean observation: 0.096 [-1.324, 2.289], loss: 0.272522, mean_absolute_error: 3.355489, mean_q: 6.456414
   772/50000: episode: 35, duration: 0.103s, episode steps: 17, steps per second: 166, episode reward: 17.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.353 [0.000, 1.000], mean observation: 0.093 [-1.015, 1.912], loss: 0.295594, mean_absolute_error: 3.421803, mean_q: 6.603698
   789/50000: episode: 36, duration: 0.106s, episode steps: 17, steps per second: 161, episode reward: 17.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.471 [0.000, 1.000], mean observation: -0.101 [-0.950, 0.566], loss: 0.302521, mean_absolute_error: 3.460435, mean_q: 6.664082
   811/50000: episode: 37, duration: 0.128s, episode steps: 22, steps per second: 172, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.545 [0.000, 1.000], mean observation: -0.070 [-1.709, 1.002], loss: 0.388621, mean_absolute_error: 3.523707, mean_q: 6.740643
   859/50000: episode: 38, duration: 0.276s, episode steps: 48, steps per second: 174, episode reward: 48.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: 0.030 [-1.137, 1.477], loss: 0.377797, mean_absolute_error: 3.665827, mean_q: 7.061131
   920/50000: episode: 39, duration: 0.355s, episode steps: 61, steps per second: 172, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: -0.065 [-1.211, 0.779], loss: 0.308047, mean_absolute_error: 3.870754, mean_q: 7.578685
   932/50000: episode: 40, duration: 0.070s, episode steps: 12, steps per second: 171, episode reward: 12.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.333 [0.000, 1.000], mean observation: 0.097 [-1.188, 1.888], loss: 0.321739, mean_absolute_error: 3.981777, mean_q: 7.840284
   958/50000: episode: 41, duration: 0.154s, episode steps: 26, steps per second: 168, episode reward: 26.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.423 [0.000, 1.000], mean observation: 0.094 [-0.798, 1.693], loss: 0.266805, mean_absolute_error: 4.115370, mean_q: 8.147223
   980/50000: episode: 42, duration: 0.131s, episode steps: 22, steps per second: 167, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.364 [0.000, 1.000], mean observation: 0.055 [-1.232, 2.086], loss: 0.444621, mean_absolute_error: 4.170650, mean_q: 8.172418
   994/50000: episode: 43, duration: 0.087s, episode steps: 14, steps per second: 161, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.643 [0.000, 1.000], mean observation: -0.065 [-1.579, 1.020], loss: 0.362701, mean_absolute_error: 4.273991, mean_q: 8.383802
  1014/50000: episode: 44, duration: 0.122s, episode steps: 20, steps per second: 165, episode reward: 20.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.450 [0.000, 1.000], mean observation: -0.075 [-0.953, 0.628], loss: 0.276549, mean_absolute_error: 4.315343, mean_q: 8.534784
  1112/50000: episode: 45, duration: 0.554s, episode steps: 98, steps per second: 177, episode reward: 98.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: 0.184 [-1.038, 1.277], loss: 0.395301, mean_absolute_error: 4.567656, mean_q: 9.028313
  1190/50000: episode: 46, duration: 0.441s, episode steps: 78, steps per second: 177, episode reward: 78.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: 0.141 [-0.729, 1.100], loss: 0.470776, mean_absolute_error: 4.920171, mean_q: 9.710147
  1213/50000: episode: 47, duration: 0.132s, episode steps: 23, steps per second: 175, episode reward: 23.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.565 [0.000, 1.000], mean observation: -0.040 [-1.550, 1.019], loss: 0.325626, mean_absolute_error: 5.221853, mean_q: 10.362164
  1290/50000: episode: 48, duration: 0.438s, episode steps: 77, steps per second: 176, episode reward: 77.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.571 [0.000, 1.000], mean observation: 0.134 [-2.303, 2.252], loss: 0.415362, mean_absolute_error: 5.387382, mean_q: 10.708932
  1312/50000: episode: 49, duration: 0.129s, episode steps: 22, steps per second: 170, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: 0.096 [-0.789, 1.195], loss: 0.471949, mean_absolute_error: 5.515840, mean_q: 11.026488
  1359/50000: episode: 50, duration: 0.274s, episode steps: 47, steps per second: 172, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.447 [0.000, 1.000], mean observation: -0.138 [-0.934, 0.370], loss: 0.557169, mean_absolute_error: 5.749341, mean_q: 11.451800
  1498/50000: episode: 51, duration: 0.778s, episode steps: 139, steps per second: 179, episode reward: 139.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.504 [0.000, 1.000], mean observation: 0.219 [-0.839, 1.318], loss: 0.478728, mean_absolute_error: 6.116997, mean_q: 12.276966
  1675/50000: episode: 52, duration: 0.987s, episode steps: 177, steps per second: 179, episode reward: 177.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.503 [0.000, 1.000], mean observation: 0.123 [-1.078, 1.129], loss: 0.554651, mean_absolute_error: 6.825164, mean_q: 13.714019
  1849/50000: episode: 53, duration: 0.999s, episode steps: 174, steps per second: 174, episode reward: 174.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.483 [0.000, 1.000], mean observation: -0.185 [-1.506, 0.739], loss: 0.597474, mean_absolute_error: 7.560439, mean_q: 15.241479
  2095/50000: episode: 54, duration: 1.379s, episode steps: 246, steps per second: 178, episode reward: 246.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.173 [-2.020, 1.053], loss: 0.652458, mean_absolute_error: 8.553292, mean_q: 17.315136
  2348/50000: episode: 55, duration: 1.423s, episode steps: 253, steps per second: 178, episode reward: 253.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.269 [-1.025, 2.406], loss: 0.817234, mean_absolute_error: 9.773493, mean_q: 19.840322
  2562/50000: episode: 56, duration: 1.194s, episode steps: 214, steps per second: 179, episode reward: 214.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.481 [0.000, 1.000], mean observation: -0.241 [-2.053, 0.732], loss: 1.081461, mean_absolute_error: 10.824377, mean_q: 21.984941
  2834/50000: episode: 57, duration: 1.504s, episode steps: 272, steps per second: 181, episode reward: 272.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.507 [0.000, 1.000], mean observation: 0.160 [-1.213, 1.521], loss: 0.817214, mean_absolute_error: 12.050313, mean_q: 24.514225
  3052/50000: episode: 58, duration: 1.228s, episode steps: 218, steps per second: 178, episode reward: 218.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.246 [-1.880, 0.737], loss: 1.177888, mean_absolute_error: 13.279670, mean_q: 26.972460
  3262/50000: episode: 59, duration: 1.180s, episode steps: 210, steps per second: 178, episode reward: 210.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.476 [0.000, 1.000], mean observation: -0.291 [-2.074, 1.030], loss: 1.626281, mean_absolute_error: 14.275281, mean_q: 28.941036
  3521/50000: episode: 60, duration: 1.441s, episode steps: 259, steps per second: 180, episode reward: 259.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.270 [-2.416, 0.947], loss: 1.454957, mean_absolute_error: 15.498728, mean_q: 31.499500
  3865/50000: episode: 61, duration: 1.911s, episode steps: 344, steps per second: 180, episode reward: 344.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.485 [0.000, 1.000], mean observation: -0.214 [-2.409, 0.953], loss: 1.579097, mean_absolute_error: 17.051638, mean_q: 34.678478
  4087/50000: episode: 62, duration: 1.230s, episode steps: 222, steps per second: 181, episode reward: 222.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.477 [0.000, 1.000], mean observation: -0.324 [-2.409, 0.833], loss: 1.844857, mean_absolute_error: 18.484995, mean_q: 37.517063
  4316/50000: episode: 63, duration: 1.270s, episode steps: 229, steps per second: 180, episode reward: 229.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.476 [0.000, 1.000], mean observation: -0.303 [-2.410, 0.753], loss: 2.171824, mean_absolute_error: 19.672974, mean_q: 39.870701
  4583/50000: episode: 64, duration: 1.501s, episode steps: 267, steps per second: 178, episode reward: 267.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.280 [-2.434, 0.684], loss: 2.968916, mean_absolute_error: 20.811958, mean_q: 42.111191
  4803/50000: episode: 65, duration: 1.230s, episode steps: 220, steps per second: 179, episode reward: 220.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.473 [0.000, 1.000], mean observation: -0.318 [-2.402, 0.723], loss: 2.831054, mean_absolute_error: 21.949261, mean_q: 44.379471
  5233/50000: episode: 66, duration: 2.394s, episode steps: 430, steps per second: 180, episode reward: 430.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.509 [0.000, 1.000], mean observation: 0.171 [-1.187, 2.427], loss: 2.740174, mean_absolute_error: 23.215549, mean_q: 47.071175
  5477/50000: episode: 67, duration: 1.378s, episode steps: 244, steps per second: 177, episode reward: 244.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.286 [-2.412, 0.850], loss: 3.389724, mean_absolute_error: 24.567900, mean_q: 49.713287
  5775/50000: episode: 68, duration: 1.650s, episode steps: 298, steps per second: 181, episode reward: 298.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.250 [-1.047, 2.414], loss: 3.148123, mean_absolute_error: 25.677740, mean_q: 51.992470
  6060/50000: episode: 69, duration: 1.587s, episode steps: 285, steps per second: 180, episode reward: 285.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.481 [0.000, 1.000], mean observation: -0.254 [-2.416, 0.635], loss: 3.001022, mean_absolute_error: 26.740484, mean_q: 54.086567
  6296/50000: episode: 70, duration: 1.328s, episode steps: 236, steps per second: 178, episode reward: 236.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.521 [0.000, 1.000], mean observation: 0.303 [-0.898, 2.432], loss: 3.708522, mean_absolute_error: 27.619186, mean_q: 55.827106
  6565/50000: episode: 71, duration: 1.510s, episode steps: 269, steps per second: 178, episode reward: 269.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.263 [-0.908, 2.410], loss: 3.557364, mean_absolute_error: 28.477688, mean_q: 57.500683
  6811/50000: episode: 72, duration: 1.371s, episode steps: 246, steps per second: 179, episode reward: 246.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.290 [-0.795, 2.406], loss: 3.480074, mean_absolute_error: 29.212271, mean_q: 59.046383
  7052/50000: episode: 73, duration: 1.351s, episode steps: 241, steps per second: 178, episode reward: 241.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.477 [0.000, 1.000], mean observation: -0.297 [-2.406, 0.741], loss: 3.266057, mean_absolute_error: 30.000526, mean_q: 60.690567
  7285/50000: episode: 74, duration: 1.313s, episode steps: 233, steps per second: 178, episode reward: 233.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.519 [0.000, 1.000], mean observation: 0.302 [-1.156, 2.425], loss: 4.195776, mean_absolute_error: 30.777973, mean_q: 62.209000
  7570/50000: episode: 75, duration: 1.636s, episode steps: 285, steps per second: 174, episode reward: 285.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.523 [0.000, 1.000], mean observation: 0.250 [-1.314, 2.626], loss: 3.429517, mean_absolute_error: 31.554945, mean_q: 63.810566
  7782/50000: episode: 76, duration: 1.217s, episode steps: 212, steps per second: 174, episode reward: 212.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.514 [0.000, 1.000], mean observation: 0.324 [-0.957, 2.413], loss: 3.058374, mean_absolute_error: 32.236549, mean_q: 65.190834
  8089/50000: episode: 77, duration: 1.716s, episode steps: 307, steps per second: 179, episode reward: 307.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.230 [-2.411, 1.044], loss: 3.581729, mean_absolute_error: 33.206036, mean_q: 67.115585
  8368/50000: episode: 78, duration: 1.577s, episode steps: 279, steps per second: 177, episode reward: 279.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.253 [-0.956, 2.407], loss: 3.046707, mean_absolute_error: 34.062225, mean_q: 68.903381
  8691/50000: episode: 79, duration: 1.819s, episode steps: 323, steps per second: 178, episode reward: 323.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.221 [-0.878, 2.415], loss: 3.207757, mean_absolute_error: 34.824921, mean_q: 70.375656
  9108/50000: episode: 80, duration: 2.353s, episode steps: 417, steps per second: 177, episode reward: 417.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: 0.172 [-0.795, 2.421], loss: 3.390424, mean_absolute_error: 35.718620, mean_q: 72.161980
  9396/50000: episode: 81, duration: 1.638s, episode steps: 288, steps per second: 176, episode reward: 288.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.247 [-0.777, 2.408], loss: 3.245634, mean_absolute_error: 36.439644, mean_q: 73.697540
  9630/50000: episode: 82, duration: 1.324s, episode steps: 234, steps per second: 177, episode reward: 234.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.300 [-2.429, 0.703], loss: 3.016428, mean_absolute_error: 37.160458, mean_q: 75.085953
  9895/50000: episode: 83, duration: 1.500s, episode steps: 265, steps per second: 177, episode reward: 265.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.267 [-0.802, 2.422], loss: 2.770354, mean_absolute_error: 37.624905, mean_q: 76.101135
 10158/50000: episode: 84, duration: 1.490s, episode steps: 263, steps per second: 177, episode reward: 263.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: 0.269 [-0.851, 2.407], loss: 3.094890, mean_absolute_error: 38.217167, mean_q: 77.260498
 10378/50000: episode: 85, duration: 1.237s, episode steps: 220, steps per second: 178, episode reward: 220.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.518 [0.000, 1.000], mean observation: 0.317 [-0.841, 2.416], loss: 2.319074, mean_absolute_error: 38.708122, mean_q: 78.273155
 10679/50000: episode: 86, duration: 1.689s, episode steps: 301, steps per second: 178, episode reward: 301.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.518 [0.000, 1.000], mean observation: 0.239 [-0.823, 2.414], loss: 2.899851, mean_absolute_error: 39.356682, mean_q: 79.535568
 10985/50000: episode: 87, duration: 1.733s, episode steps: 306, steps per second: 177, episode reward: 306.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.236 [-0.843, 2.429], loss: 3.354449, mean_absolute_error: 39.794010, mean_q: 80.464043
 11255/50000: episode: 88, duration: 1.521s, episode steps: 270, steps per second: 178, episode reward: 270.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.481 [0.000, 1.000], mean observation: -0.259 [-2.407, 0.724], loss: 2.977160, mean_absolute_error: 40.432899, mean_q: 81.670151
 11485/50000: episode: 89, duration: 1.292s, episode steps: 230, steps per second: 178, episode reward: 230.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.522 [0.000, 1.000], mean observation: 0.302 [-1.012, 2.412], loss: 2.503995, mean_absolute_error: 40.682106, mean_q: 82.188980
 11819/50000: episode: 90, duration: 1.965s, episode steps: 334, steps per second: 170, episode reward: 334.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.215 [-2.427, 0.644], loss: 2.444523, mean_absolute_error: 41.331371, mean_q: 83.575890
 12318/50000: episode: 91, duration: 2.874s, episode steps: 499, steps per second: 174, episode reward: 499.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.489 [0.000, 1.000], mean observation: -0.142 [-2.434, 0.642], loss: 3.113352, mean_absolute_error: 42.054672, mean_q: 85.008003
 12637/50000: episode: 92, duration: 1.829s, episode steps: 319, steps per second: 174, episode reward: 319.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: 0.225 [-0.997, 2.400], loss: 2.554063, mean_absolute_error: 42.568665, mean_q: 86.094284
 12892/50000: episode: 93, duration: 1.526s, episode steps: 255, steps per second: 167, episode reward: 255.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.478 [0.000, 1.000], mean observation: -0.276 [-2.433, 0.668], loss: 2.468921, mean_absolute_error: 43.267311, mean_q: 87.494179
 13177/50000: episode: 94, duration: 1.673s, episode steps: 285, steps per second: 170, episode reward: 285.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.516 [0.000, 1.000], mean observation: 0.250 [-0.908, 2.415], loss: 2.918859, mean_absolute_error: 43.599834, mean_q: 88.032486
 13388/50000: episode: 95, duration: 1.222s, episode steps: 211, steps per second: 173, episode reward: 211.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.526 [0.000, 1.000], mean observation: 0.325 [-1.043, 2.403], loss: 2.889079, mean_absolute_error: 43.689022, mean_q: 88.261124
 13617/50000: episode: 96, duration: 1.293s, episode steps: 229, steps per second: 177, episode reward: 229.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.520 [0.000, 1.000], mean observation: 0.305 [-0.850, 2.401], loss: 2.157249, mean_absolute_error: 43.766731, mean_q: 88.402496
 13896/50000: episode: 97, duration: 1.564s, episode steps: 279, steps per second: 178, episode reward: 279.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.261 [-2.430, 0.721], loss: 2.440173, mean_absolute_error: 44.313122, mean_q: 89.476425
